,text,class,prob
0,call leader help protect refuge covid19 provid qualiti health care,pos,0.7962236169975001
1,ogun state support cbn nirsal covid19 target credit facil tcf,pos,0.7277090997925625
2,polic offici base namahadi polic station busi drink liquor certain tavern whilst duti,pos,0.7124613029056869
3,taiwan vice presid chen chien jen countri fight covid19,neg,0.2593882659995974
4,break new york woman symptom die last week prescrib drug cocktail known ,neg,0.1969418074942149
5,doctor friend deliv babi crisi told interest data larg nyc area hospit,pos,0.767046131624189
6,covid19 attack almost anyth bodi devast consequ feroc breathtak humbl,neg,0.24797462768463138
7,prevent key know simpl step take today protect,pos,0.746903318469558
8,wallac pelosi also downplay covid19 presid underplay threat earli day speaker pel,neg,0.24494765814001587
9,iphrc condemn unrel viciou campaign malign muslim spread,neg,0.2982248753256834
10,le british peopl kill day circa time number dead uk covid19 ne,neg,0.19762010247624093
11,treatment mortal rate track destroy medic system given flu season ,neg,0.1831272562207045
12,mila launch quarantin wine profit go covid19 relief effort,pos,0.750348908851466
13,covid19 alberta doctor slam provinc shoddi mask,neg,0.29908607708255724
14,touch funk akindel releas statement import maintain social distanc fight aga,neg,0.29310377006639765
15,let get straight conspir china mislead covid19 trump threaten defund provid,neg,0.2826556567139979
16,know covid19 hoax set nwo asleep sheep follow anyth medium tel,neg,0.30843781799159187
17,nation treasuri respons covid19 pandem cut across sector health water etc far ksh di,neg,0.3017287710079354
18,produc set resourc design use school parent carer support home lea,pos,0.7406387858909418
19,casino open lawsuit covid19 cluster trace,neg,0.2806150706204556
20,covid19 diabet man dy lack food medicin delhi quarantin centr moham musthafa resid coimbator,neg,0.32304645651363384
21,share kati sweet famili need help ever covid19 relief coelh,pos,0.8347199742167821
22,great meet today discu ongo respons covid19 grate ,pos,0.7489610127654015
23,let clear covid19 test late april trump could mani test want admit,pos,0.6696248396426644
24,news point item list ppe kit use medic staff fight covid19 va offer,neg,0.23086620078865908
25,uofl develop technolog believ block novel coronaviru infect human cell uofl research hope fa,pos,0.7095459644748306
26,rocket scienc simpli math next week lost american covid19 week ,neg,0.25785650986052977
27,dhanyawad creat person bodyguard everi indian fight covid19 ,neg,0.24205360365289305
28,one sent home without pay billionair work line pocket yet ceo,pos,0.717143548103639
29,doubt deni sever intens realiti covid19 wish could look eye,pos,0.7017021029319152
30,ekiti record first covid19 death new mother thecabl,neg,0.2148915761490969
31,interview one book fear citizen happen la vega stay,neg,0.2968372129848235
32,today daili elain major suprem court decis juri verdict may offer clue justic,pos,0.6623211332536401
33,stewart say proud vancouv resid follow order help flatten curv outb,pos,0.7405212047390124
34,control british govern respons covid19 great articl via,pos,0.7134126554245339
35,public compani took covid19 loan meant small busi admit feder respons screw,pos,0.7076256141213004
36,must solo run govt exit plan wind public health restrict consult agreem,neg,0.3035985667597488
37,warn come greek author announc peopl test posit lock migrant hotel cou,neg,0.2192846708794733
38,sever punish challeng measur covid19,neg,0.3408110152426217
39,covid19 test temporarili suspend kano bc staff test posit test kit got finish heal,neg,0.27003536478213386
40,go depth hell le grand even pay life trump di,neg,0.2617312884497272
41,exchang view covid19 pandem pm thank support care extend,pos,0.8104056241752732
42,good news ton peopl contact news help veteran evict landlord bad news,pos,0.6718416462617054
43,good straight forward read,pos,0.7438710914372534
44,write stori lost pandem gut honor get know someon,pos,0.6983065582015313
45,fire bone covid19 victori danc news around,neg,0.28389165693790924
46,group artist decid draw governor joho wonder healthcar worker honour covid19,pos,0.7431275298360763
